NAME,Joining Date,Department,Monthly Salary, Email
Anwar,10/12/22,sales,10000,anwar@gmail.com
Aneer,11/02/22,advertising,12000,aneer@gmail.com
Arshiq,04/04/21,sales,13000,arshiq@gmail.com
Ajay,05/05/21,marketing,14000,ajay@gmail.com
Hashil,06/06/23,advertising,15000,hashil@gmail.com
johnson,07/07/23,packing,16000,johnson@gmail.com
babu,08/08/23,sales,17000,babu@gmail.com
monu,09/09/23,advertising,18000,monu@gmail.com
sonu,10/09/23,packing,19000,sonu@gmail.com
angel,11/09/23,walking,20000,angel@gmail.com
